date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:38	471937/471937	---M--	200	added ('OK')	image/jpeg	etag:%2273381-5918f568917ef%22	http://www.sunnsandhotel.com/images/banquet/ARB2.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/ARB2.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:27:41	507657/507657	---M--	200	added ('OK')	image/jpeg	etag:%227bf09-5918f5682900f%22	http://www.sunnsandhotel.com/images/banquet/ARB1.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/ARB1.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:27:48	489261/489261	---M--	200	added ('OK')	image/jpeg	etag:%227772d-5918f56ae050f%22	http://www.sunnsandhotel.com/images/banquet/ARB3.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/ARB3.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:27:49	456862/456862	---M--	200	added ('OK')	image/jpeg	etag:%226f89e-5918f56b22b8f%22	http://www.sunnsandhotel.com/images/banquet/ARB4.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/ARB4.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:28:11	134289/134289	---M--	200	added ('OK')	image/jpeg	etag:%2220c91-5918f57e55c2f%22	http://www.sunnsandhotel.com/images/banquet/zbfr1.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/zbfr1.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:28:30	113939/113939	---M--	200	added ('OK')	image/jpeg	etag:%221bd13-5918f57f3d34f%22	http://www.sunnsandhotel.com/images/banquet/zbfr2.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/zbfr2.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:28:40	388210/388210	---M--	200	added ('OK')	image/jpeg	etag:%225ec72-5918f56eddccf%22	http://www.sunnsandhotel.com/images/banquet/br1.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/br1.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:28:48	409656/409656	---M--	200	added ('OK')	image/jpeg	etag:%2264038-5918f570bd4af%22	http://www.sunnsandhotel.com/images/banquet/br2.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/br2.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:28:54	409771/409771	---M--	200	added ('OK')	image/jpeg	etag:%22640ab-5918f56cf872f%22	http://www.sunnsandhotel.com/images/banquet/ARB5.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/banquet/ARB5.jpg	(from http://www.sunnsandhotel.com/banquets.htm)
15:28:56	514241/514241	---M--	200	added ('OK')	application/octet-stream	etag:%225b1d1503789609f4725aaed310d4ac8f%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_wed1.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_wed1.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:29:14	181039/181039	---M--	200	added ('OK')	application/octet-stream	etag:%22078e88b2cc709bf29d6a5152f429d9f3%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_wed2_.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_wed2_.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:29:28	180101/180101	---M--	200	added ('OK')	image/jpeg	etag:%222bf85-5918f4556b04f%22	http://www.sunnsandhotel.com/images/8e30d3ba4ad4e1784c4f32459c63c03b.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/8e30d3ba4ad4e1784c4f32459c63c03b.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:29:55	251402/251402	---M--	200	added ('OK')	image/jpeg	etag:%223d60a-5918f43cd60cf%22	http://www.sunnsandhotel.com/images/4b44e258f26ac9adc0152449a516f16a.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/4b44e258f26ac9adc0152449a516f16a.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:30:12	265254/265254	---M--	200	added ('OK')	image/jpeg	etag:%2240c26-5918f49ddbf0f%22	http://www.sunnsandhotel.com/images/e2284d92ec1197cf9c28453cace51ca2.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/e2284d92ec1197cf9c28453cace51ca2.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:30:18	516650/516650	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Apr%202018%2010:50:21%20GMT	http://cms.staah.net/sun_n_sand_beta/images/fb/pool1.jpg	C:/My%20Web%20Sites/A1/cms.staah.net/sun_n_sand_beta/images/fb/pool1.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:30:22	153272/153272	---M--	200	added ('OK')	image/jpeg	etag:%22256b8-5918f4964c64f%22	http://www.sunnsandhotel.com/images/c1ea4d09c243394c100b8beb7dba1bf3.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/c1ea4d09c243394c100b8beb7dba1bf3.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
